analysisPlanSort	analysisPlanId	description	NAME1	STAT1
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/4+45RA+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/4+45RA+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/4+CCR7+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/4+CCR7+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/4+IL4_or_IL13:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/4+IL4_or_IL13:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/69+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/69+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CCR5+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CCR5+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CM:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CM:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CTLA4+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CTLA4+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+PD1+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+PD1+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+PD1+/154+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+PD1+/154+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+PD1+/4+IL4_or_IL13:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+PD1+/4+IL4_or_IL13:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+PD1+/GzB+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+PD1+/GzB+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+PD1+/IFNg+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+PD1+/IFNg+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+PD1+/IFNg_OR_IL2:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+PD1+/IFNg_OR_IL2:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+PD1+/IL17A_OR_IL17F:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+PD1+/IL17A_OR_IL17F:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+PD1+/IL2+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+PD1+/IL2+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+PD1+/Perf+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+PD1+/Perf+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+PD1+/TNFa+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/CXCR5+PD1+/TNFa+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/DR+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/DR+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/EM:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/EM:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/FoxP3+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/FoxP3+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/FoxP3+/25+127lo:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/FoxP3+/25+127lo:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/GzB+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/GzB+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/IFNg+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/IFNg+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/IFNg_OR_IL2:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/IFNg_OR_IL2:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/IL17A_OR_IL17F:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/IL17A_OR_IL17F:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/IL2+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/IL2+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/KLRG1+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/KLRG1+:Count
