AnalysisPlanSort	AnalysisPlanId	NAME1	STAT1
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/CXCR5+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/CXCR5+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/4+B7+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/4+B7+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/4+B7+/R7+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/4+B7+/R7+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/4+RA+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/4+RA+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/CM:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/CM:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/CTLA4+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/CTLA4+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/CXCR5+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/CXCR5+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/EM:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/EM:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/N:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/N:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/PD1+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/PD1+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/PD1+CXCR5+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/PD1+CXCR5+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/PD1+CXCR5-:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/PD1+CXCR5-:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/R7+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/R7+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/TD:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/TD:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/TIM3_OR_LAG3:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IFNg_OR_IL2/TIM3_OR_LAG3:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IL2+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IL2+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IL4_OR_IL13:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/S/L/19-/3+/3+excl 16br/56-16-/4+/IL4_OR_IL13:Count
